platform,komentar,clean,stopword,stemming
YouTube,gara gara podcast akhirnya jadi film...,gara gara podcast akhirnya jadi film,gara gara podcast film,gara gara podcast film
YouTube,Yg kena serangan jantung arif didu gasih?,yg kena serangan jantung arif didu gasih,yg kena serangan jantung arif didu gasih,yg kena serang jantung arif didu gasih
YouTube,sayang kali aku sama klen 😭,sayang kali aku sama klen ,sayang kali klen,sayang kali klen
YouTube,Kacooo iniiiiiii mantap kali laeee,kacooo iniiiiiii mantap kali laeee,kacooo iniiiiiii mantap kali laeee,kacooo iniiiiiii mantap kali laeee
YouTube,Duh nggak sabar buat nonton klean,duh nggak sabar buat nonton klean,duh nggak sabar nonton klean,duh nggak sabar nonton klean
YouTube,Akhirnya bang oki rengga maen filem,akhirnya bang oki rengga maen filem,bang oki rengga maen filem,bang oki rengga maen filem
YouTube,Anjaaaaaay,anjaaaaaay,anjaaaaaay,anjaaaaaay
YouTube,setan e batakkkk 😂,setan e batakkkk ,setan e batakkkk,setan e batakkkk
YouTube,BANGGA SAMA KALIANN 😭 ❤,bangga sama kaliann  ,bangga kaliann,bangga kaliann
YouTube,❤❤ FILM PERTAMA HOROR KOMEDI SETELAH SEKIAN LAMA. DARI TRAILERNYA AJA UDAH PECAH PASTI 👍👍👍👍, film pertama horor komedi setelah sekian lama dari trailernya aja udah pecah pasti ,film horor komedi sekian trailernya aja udah pecah,film horor komedi sekian trailer aja udah pecah
YouTube,Udah gak sabar pgen nonton,udah gak sabar pgen nonton,udah gak sabar pgen nonton,udah gak sabar pgen nonton
YouTube,"Tembuslah 2jt penonton ini..
Ga sabar woy nunggu 1 Feb 2024!!","tembuslah jt penonton ini
ga sabar woy nunggu  feb ",tembuslah jt penonton ga sabar woy nunggu feb,tembus jt tonton ga sabar woy nunggu feb
YouTube,gila beneran jadii 😭😭,gila beneran jadii ,gila beneran jadii,gila beneran jadi
YouTube,yah masih lama:(,yah masih lama,yah,yah
YouTube,"Bisa besok aja gak sih tanyangnyaaa, ga sabar. Kocak bgt ya Allaaah",bisa besok aja gak sih tanyangnyaaa ga sabar kocak bgt ya allaaah,besok aja gak sih tanyangnyaaa ga sabar kocak bgt ya allaaah,besok aja gak sih tanyangnyaaa ga sabar kocak bgt ya allaaah
YouTube,"sebenernya aku tu udh waswas bgt di awal krn temanya bakal horror, sedangkan aku gabisa film hantu2 gitu. kirain bakal SEHORRORR itu kyk di film2, trnyata engga WKWKWKK syukur deh jadinya bisa nonton 🤣
dan lagi aku jd penasaran bangett sma endingnya mrk bakal gimana........ ih aku gabisa nebak lagi anjir... apakah mrk bakal kena ""karma""? ADUUHH FEBRUARI MASIH LAMA LAGI😩😩😩😩😩","sebenernya aku tu udh waswas bgt di awal krn temanya bakal horror sedangkan aku gabisa film hantu gitu kirain bakal sehorrorr itu kyk di film trnyata engga wkwkwkk syukur deh jadinya bisa nonton 
dan lagi aku jd penasaran bangett sma endingnya mrk bakal gimana ih aku gabisa nebak lagi anjir apakah mrk bakal kena karma aduuhh februari masih lama lagi",sebenernya tu udh waswas bgt krn temanya horror gabisa film hantu gitu kirain sehorrorr kyk film trnyata engga wkwkwkk syukur deh nonton jd penasaran bangett sma endingnya mrk gimana ih gabisa nebak anjir mrk kena karma aduuhh februari,sebenernya tu udh waswas bgt krn tema horror gabisa film hantu gitu kirain sehorrorr kyk film trnyata engga wkwkwkk syukur deh nonton jd penasaran bangett sma endingnya mrk gimana ih gabisa nebak anjir mrk kena karma aduuhh februari
YouTube,Full Cameo Komika 🔥🔥,full cameo komika ,full cameo komika,full cameo komika
YouTube,"oki tinggal pake celana pendek jalan merangkak, udah persis kayak smeagol yg di LOTR. #1jt_penonton",oki tinggal pake celana pendek jalan merangkak udah persis kayak smeagol yg di lotr jtpenonton,oki tinggal pake celana pendek jalan merangkak udah persis kayak smeagol yg lotr jtpenonton,oki tinggal pake celana pendek jalan rangkak udah persis kayak smeagol yg lotr jtpenonton
YouTube,Idem kak😅😅😅,idem kak,idem kak,idem kak
YouTube,lama kali bang 1 Februari 🔥,lama kali bang  februari ,kali bang februari,kali bang februari
YouTube,😅😅😅😅😅😂😂😂😂😅😅😅😅,,,
YouTube,Pasti 1 juta penonton ini mahhhh,pasti  juta penonton ini mahhhh,juta penonton mahhhh,juta tonton mahhhh
YouTube,Hahahhaah,hahahhaah,hahahhaah,hahahhaah
YouTube,Fix... nonton biar balik modal abang2 ini...,fix nonton biar balik modal abang ini,fix nonton biar modal abang,fix nonton biar modal abang
YouTube,Yrailernya dah lucuu,yrailernya dah lucuu,yrailernya dah lucuu,yrailernya dah lucuu
YouTube,😂,,,
YouTube,aaaaaaa,aaaaaaa,aaaaaaa,aaaaaaa
YouTube,TUMBEN BANG BENE GA FLAT 😂,tumben bang bene ga flat ,tumben bang bene ga flat,tumben bang bene ga flat
YouTube,"Kita boikot kalo sampe gak ada intro 
Boris : ""ki, sebelum kita mulai filemnya, belikan lah dulu abang rokok ki.... ""
Jegel : ""aku titip apalah ini, kopi""
Bene : ""aku mau martabak kali lah""
Oki : ""mana duitnya?""
Jegel : ""ih, pakailah dulu duit kau""
Oki : ""pake duitku dulu? Mak, AGAK LAEN bah""
Teng teng teng
Muncul judul AGAK LAEN 😂😂😂","kita boikot kalo sampe gak ada intro 
boris  ki sebelum kita mulai filemnya belikan lah dulu abang rokok ki 
jegel  aku titip apalah ini kopi
bene  aku mau martabak kali lah
oki  mana duitnya
jegel  ih pakailah dulu duit kau
oki  pake duitku dulu mak agak laen bah
teng teng teng
muncul judul agak laen ",boikot kalo sampe gak intro boris ki filemnya belikan abang rokok ki jegel titip apalah kopi bene martabak kali oki duitnya jegel ih pakailah duit kau oki pake duitku mak laen bah teng teng teng muncul judul laen,boikot kalo sampe gak intro bor ki filemnya belikan abang rokok ki jegel titip apa kopi bene martabak kali oki duit jegel ih pakai duit kau oki pake duit mak laen bah teng teng teng muncul judul laen
YouTube,Siap ke bioskop,siap ke bioskop,bioskop,bioskop
YouTube,🎉,,,
YouTube,"Tentang orang mati jantungan trus dikubur diem2, hmmmm pasti ide film ini dari Oki",tentang orang mati jantungan trus dikubur diem hmmmm pasti ide film ini dari oki,orang mati jantungan trus dikubur diem hmmmm ide film oki,orang mati jantung trus kubur diem hmmmm ide film oki
YouTube,"ga mungkin ga lucuu, produser, sutradara, pemain semuanyaa komika 🔥 fix harus lebih dari 1 jt penonton inii",ga mungkin ga lucuu produser sutradara pemain semuanyaa komika  fix harus lebih dari  jt penonton inii,ga ga lucuu produser sutradara pemain semuanyaa komika fix jt penonton inii,ga ga lucuu produser sutradara main semuanyaa komika fix jt tonton ini
YouTube,fak Angin Duduk.. lucu lagi :face-blue-smiling:,fak angin duduk lucu lagi facebluesmiling,fak angin duduk lucu facebluesmiling,fak angin duduk lucu facebluesmiling
YouTube,"1 februari, gaskan.... Kita pasukan tak bermarga juga tak sabar pengen nonton.", februari gaskan kita pasukan tak bermarga juga tak sabar pengen nonton,februari gaskan pasukan bermarga sabar pengen nonton,februari gas pasu marga sabar ken nonton
YouTube,Kelas abang abang,kelas abang abang,kelas abang abang,kelas abang abang
YouTube,Semoga sukses .....,semoga sukses ,semoga sukses,moga sukses
YouTube,Waah unik & menarik nih ceritanyaa 😅. Agak laen emang. Gak sabar pengen nonton.,waah unik  menarik nih ceritanyaa  agak laen emang gak sabar pengen nonton,waah unik menarik nih ceritanyaa laen emang gak sabar pengen nonton,waah unik tarik nih ceritanyaa laen emang gak sabar ken nonton
YouTube,Oohh disini mamat jd polisi yg viral di twitter,oohh disini mamat jd polisi yg viral di twitter,oohh mamat jd polisi yg viral twitter,oohh mamat jd polisi yg viral twitter
YouTube,Kalo gk ada lagu agak laen kita harus tantrummm 😂,kalo gk ada lagu agak laen kita harus tantrummm ,kalo gk lagu laen tantrummm,kalo gk lagu laen tantrummm
YouTube,"Up terus, biar di dengar kan",up terus biar di dengar kan,up biar dengar,up biar dengar
YouTube,Mesti masuk ni 😅,mesti masuk ni ,mesti masuk ni,mesti masuk ni
YouTube,2 jt ini mah, jt ini mah,jt mah,jt mah
YouTube, @T.ak27  aamiin, tak  aamiin,aamiin,aamiin
YouTube,😊😊😊 ayo kita tidur​ @T.ak27 , ayo kita tidur tak ,ayo tidur,ayo tidur
YouTube,5 juta lah ayo limpul taro buat geli geli ya kan, juta lah ayo limpul taro buat geli geli ya kan,juta ayo limpul taro geli geli ya,juta ayo limpul taro geli geli ya
YouTube,3jt yakin x aq,jt yakin x aq,jt x aq,jt x aq
YouTube, @alfinfebrian2861  aamiin, alfinfebrian  aamiin,alfinfebrian aamiin,alfinfebrian aamiin
YouTube,Lebih 3 juta keknya ini,lebih  juta keknya ini,juta keknya,juta kek
YouTube, @sabilalmuhtadin6101  aamiin, sabilalmuhtadin  aamiin,sabilalmuhtadin aamiin,sabilalmuhtadin aamiin
YouTube,"Batak kali klen bah, limpul pula awak baca",batak kali klen bah limpul pula awak baca,batak kali klen bah limpul awak baca,batak kali klen bah limpul awak baca
YouTube,haloo saya dari masa depan.. udah tembus 1 juta bang 😁😁,haloo saya dari masa depan udah tembus  juta bang ,haloo udah tembus juta bang,haloo udah tembus juta bang
YouTube,"😂 lucu x 
Kalen komen rasa lelang barang !!!
kalo aku 5,5 jt penonton ✨"," lucu x 
kalen komen rasa lelang barang 
kalo aku  jt penonton ",lucu x kalen komen lelang barang kalo jt penonton,lucu x kalen komen lelang barang kalo jt tonton
YouTube,Udah nonton vibesnya penonton yg ngakak seruangan bikin makin ngga bs berhenti ketawanya sampek perut kaku😂😂😂sering sering yg bikin film ginian utk therapy kesehatan mental,udah nonton vibesnya penonton yg ngakak seruangan bikin makin ngga bs berhenti ketawanya sampek perut kakusering sering yg bikin film ginian utk therapy kesehatan mental,udah nonton vibesnya penonton yg ngakak seruangan bikin ngga bs berhenti ketawanya sampek perut kakusering yg bikin film ginian utk therapy kesehatan mental,udah nonton vibesnya tonton yg ngakak ruang bikin ngga bs henti ketawa sampek perut kakusering yg bikin film ginian utk therapy sehat mental
YouTube,dikasih beban🤣,dikasih beban,dikasih beban,kasih beban
YouTube,Udah 1 juta bang di hari ke 4 penayangan,udah  juta bang di hari ke  penayangan,udah juta bang penayangan,udah juta bang tayang
YouTube,5 juta breh, juta breh,juta breh,juta breh
YouTube,Menuju 6 juta ygy,menuju  juta ygy,juta ygy,juta ygy
YouTube,Udah lebih dari 5jt,udah lebih dari jt,udah jt,udah jt
YouTube,gasskan 7 juta lah klean tak penasaran tengok oki cs jd manusia silver ?😂,gasskan  juta lah klean tak penasaran tengok oki cs jd manusia silver ,gasskan juta klean penasaran tengok oki cs jd manusia silver,gasskan juta klean penasaran tengok oki cs jd manusia silver
YouTube,Udah 6 jutaa pun mantap kali lah tinggal nunggu orang iti jadi manusia silver,udah  jutaa pun mantap kali lah tinggal nunggu orang iti jadi manusia silver,udah jutaa mantap kali tinggal nunggu orang iti manusia silver,udah jutaa mantap kali tinggal nunggu orang iti manusia silver
YouTube,Yg bilang nggak lucu kenalan dulu donk sm pemain2nya. Komika2 top bgt. Kalian belum tahu dunia komika.,yg bilang nggak lucu kenalan dulu donk sm pemainnya komika top bgt kalian belum tahu dunia komika,yg bilang nggak lucu kenalan donk sm pemainnya komika top bgt dunia komika,yg bilang nggak lucu kenal donk sm main komika top bgt dunia komika
YouTube,Udah 6 jt,udah  jt,udah jt,udah jt
YouTube,Sudah 6jt lebih 😂,sudah jt lebih ,jt,jt
YouTube,Sudah 7 juta banggg🎉,sudah  juta banggg,juta banggg,juta banggg
YouTube,"Udh 8,2 juta penonton",udh  juta penonton,udh juta penonton,udh juta tonton
YouTube,"9,8 jt wak", jt wak,jt wak,jt wak
YouTube,Pasnya berapa nih?,pasnya berapa nih,pasnya nih,pas nih
YouTube, @fajaralibudiman5738  100rb - 200rb udah syukur, fajaralibudiman  rb  rb udah syukur,fajaralibudiman rb rb udah syukur,fajaralibudiman rb rb udah syukur
YouTube,2 juta sih, juta sih,juta sih,juta sih
YouTube,"pastiiiiii,,,,",pastiiiiii,pastiiiiii,pastiiiiii
YouTube,Hmmm benarkah ??? 😵‍💫,hmmm benarkah  ,hmmm,hmmm
YouTube,"Gak yakin aku cuma 5,5 JT,  fix 6 JT penonton. Aku pasang 25rb taruhannya 😂😂",gak yakin aku cuma  jt  fix  jt penonton aku pasang rb taruhannya ,gak jt fix jt penonton pasang rb taruhannya,gak jt fix jt tonton pasang rb taruh
YouTube,Beban anjeeeng😂,beban anjeeeng,beban anjeeeng,beban anjeeeng
YouTube,Llllllili8🎉🎉🎉🎉reed,llllllilireed,llllllilireed,llllllilireed
YouTube,"Lucu banget ini, 9/10. Selera film gus top notch, go ahead and watch.",lucu banget ini  selera film gus top notch go ahead and watch,lucu banget selera film gus top notch go ahead and watch,lucu banget selera film gus top notch go ahead and watch
YouTube,Sudah 1 juta baru 4 hari rilis 🎉🎉,sudah  juta baru  hari rilis ,juta rilis,juta rilis
YouTube,lebih mas untuk hari ini,lebih mas untuk hari ini,mas,mas
YouTube,beneran bro wkwkwk,beneran bro wkwkwk,beneran bro wkwkwk,beneran bro wkwkwk
YouTube,"udah 1,2 JT nih",udah  jt nih,udah jt nih,udah jt nih
YouTube,Malah sudah dua juta penonton per tanggal 8 Feb...,malah sudah dua juta penonton per tanggal  feb,juta penonton tanggal feb,juta tonton tanggal feb
YouTube,Hari ini 2juta,hari ini juta,juta,juta
YouTube,8 hari udh 2jt lebih, hari udh jt lebih,udh jt,udh jt
YouTube,"Kenapa gag ada yg seperti pelawak² zaman dulu ya, ada ke yg ngikutin SATU AJA, pasti FILM KOMEDI INDONESIA MENDUNIA seperti dulu",kenapa gag ada yg seperti pelawak zaman dulu ya ada ke yg ngikutin satu aja pasti film komedi indonesia mendunia seperti dulu,gag yg pelawak zaman ya yg ngikutin aja film komedi indonesia mendunia,gag yg lawak zaman ya yg ngikutin aja film komedi indonesia dunia
YouTube,Udh 4 jt,udh  jt,udh jt,udh jt
YouTube,Udah 4juta🎉🎉🎉🎉🎉,udah juta,udah juta,udah juta
YouTube,Wkwkw udah 4 juta keless,wkwkw udah  juta keless,wkwkw udah juta keless,wkwkw udah juta keless
YouTube,Udh tembus 4jt,udh tembus jt,udh tembus jt,udh tembus jt
YouTube,Udah masuk 4juta otw mau 5juta guys 😂,udah masuk juta otw mau juta guys ,udah masuk juta otw juta guys,udah masuk juta otw juta guys
YouTube,Otw 5 jt bang,otw  jt bang,otw jt bang,otw jt bang
YouTube,Ga lucu liat trailernya apalagi filmnya,ga lucu liat trailernya apalagi filmnya,ga lucu liat trailernya filmnya,ga lucu liat trailer film
YouTube,Udah 5jt bang,udah jt bang,udah jt bang,udah jt bang
YouTube,udh 5 jt,udh  jt,udh jt,udh jt
YouTube,udah 5jt penonton😂,udah jt penonton,udah jt penonton,udah jt tonton
YouTube,"fakta bg, penonton nya udh mau 6jt, sy yakin bisa 10jt ini",fakta bg penonton nya udh mau jt sy yakin bisa jt ini,fakta bg penonton nya udh jt sy jt,fakta bg tonton nya udh jt sy jt
YouTube,​ @cicaksudahberani rekor penonton terbanyak film apa ya di Indonesia?, cicaksudahberani rekor penonton terbanyak film apa ya di indonesia,cicaksudahberani rekor penonton film ya indonesia,cicaksudahberani rekor tonton film ya indonesia
YouTube,Humor gue doang yang beda kayanya 😅,humor gue doang yang beda kayanya ,humor gue doang beda kayanya,humor gue doang beda kaya
YouTube,udh 6 juta real count nya malah,udh  juta real count nya malah,udh juta real count nya,udh juta real count nya
YouTube,Sudah nonton dan emang lucu banget,sudah nonton dan emang lucu banget,nonton emang lucu banget,nonton emang lucu banget
YouTube,7 juta, juta,juta,juta
YouTube,"Udah 6 jt we, emang kocak kali org ini 😂",udah  jt we emang kocak kali org ini ,udah jt we emang kocak kali org,udah jt we emang kocak kali org
YouTube,7jt inmh,jt inmh,jt inmh,jt inmh
YouTube,"Just info, udah 6jt",just info udah jt,just info udah jt,just info udah jt
YouTube,udah hampir 7jt wkwkkw,udah hampir jt wkwkkw,udah jt wkwkkw,udah jt wkwkkw
YouTube,"well, uda 7 juta+ gess",well uda  juta gess,well uda juta gess,well uda juta gess
YouTube,Udah 7,udah ,udah,udah
YouTube,7 juta sudah bg, juta sudah bg,juta bg,juta bg
YouTube,7 juta boy saat ini wkwk gokil, juta boy saat ini wkwk gokil,juta boy wkwk gokil,juta boy wkwk gokil
YouTube,terakhir update 7 jt penonton,terakhir update  jt penonton,update jt penonton,update jt tonton
YouTube,"Sdh 20 juta lebihh,, jagooo👍👍",sdh  juta lebihh jagooo,sdh juta lebihh jagooo,sdh juta lebihh jagooo
YouTube,udah 7jt penonton ini mah,udah jt penonton ini mah,udah jt penonton mah,udah jt tonton mah
YouTube,Udah 7 juta 😂,udah  juta ,udah juta,udah juta
YouTube,tembus 7jt kerenn,tembus jt kerenn,tembus jt kerenn,tembus jt kerenn
YouTube,7 juta, juta,juta,juta
YouTube,2 kali gue nonton ini . Anjing emang ketawa ampe nangis, kali gue nonton ini  anjing emang ketawa ampe nangis,kali gue nonton anjing emang ketawa ampe nangis,kali gue nonton anjing emang ketawa ampe nang
YouTube,Sudah 7jut,sudah jut,jut,jut
YouTube,Udah 7jt guys,udah jt guys,udah jt guys,udah jt guys
YouTube,Sudah tembus 7jt wir...,sudah tembus jt wir,tembus jt wir,tembus jt wir
YouTube,Udh 7juta mlah,udh juta mlah,udh juta mlah,udh juta mlah
YouTube,Sudah 7 jt 😅,sudah  jt ,jt,jt
YouTube,Terpantau menuju 8jt gaesss,terpantau menuju jt gaesss,terpantau jt gaesss,pantau jt gaesss
YouTube,Aku 7 jt,aku  jt,jt,jt
YouTube,Udah 7jt lebih 😂🎉,udah jt lebih ,udah jt,udah jt
YouTube,Udah 7 juta ajee,udah  juta ajee,udah juta ajee,udah juta ajee
YouTube,sdh tembus 7juta penonton!!!,sdh tembus juta penonton,sdh tembus juta penonton,sdh tembus juta tonton
YouTube,7jt cuk😂,jt cuk,jt cuk,jt cuk
YouTube,Tembus 7 juta,tembus  juta,tembus juta,tembus juta
YouTube,sudah 10 jt,sudah  jt,jt,jt
YouTube,udh 7 juta,udh  juta,udh juta,udh juta
YouTube,"Udah 7,5 juta",udah  juta,udah juta,udah juta
YouTube,"Udah 8,3 juta",udah  juta,udah juta,udah juta
YouTube,Udah 7juta ni bang,udah juta ni bang,udah juta ni bang,udah juta ni bang
YouTube,Sdh lebih 7 jt penonton saking lucunya❤❤😂😂,sdh lebih  jt penonton saking lucunya,sdh jt penonton saking lucunya,sdh jt tonton saking lucu
YouTube,Satau,satau,satau,satau
YouTube,Eh BTW UDAH 8JT INI BANG,eh btw udah jt ini bang,eh btw udah jt bang,eh btw udah jt bang
YouTube,Udah lebih 8 juta bang😂,udah lebih  juta bang,udah juta bang,udah juta bang
YouTube,Udah 10 juta wei 😅😂,udah  juta wei ,udah juta wei,udah juta wei
YouTube, @MuhammadTaufiq10  wah masa?? Ngelewatin KKN ini??, muhammadtaufiq  wah masa ngelewatin kkn ini,muhammadtaufiq ngelewatin kkn,muhammadtaufiq ngelewatin kkn
YouTube,Sudah tembus 7 juta,sudah tembus  juta,tembus juta,tembus juta
YouTube,7 juta gaesss, juta gaesss,juta gaesss,juta gaesss
YouTube,Menuju 9 juta😂😂,menuju  juta,juta,juta
YouTube,Udah 8jt aja nih,udah jt aja nih,udah jt aja nih,udah jt aja nih
YouTube,Udah 10 juta bro,udah  juta bro,udah juta bro,udah juta bro
YouTube,Tembus 9juta boss... 🚀🚀🚀🚀🎉🎉🎉🔥🔥🔥🔥🔥,tembus juta boss ,tembus juta boss,tembus juta boss
YouTube,Akhirnya 9 juta penonton di Bioskop...,akhirnya  juta penonton di bioskop,juta penonton bioskop,juta tonton bioskop
YouTube,Udah 9 juta ni bos 😂,udah  juta ni bos ,udah juta ni bos,udah juta ni bos
YouTube,"Dan kejadian kan, udah mau 10jt malah
Kita yakin sih, kalo abis lebaran masih ada di bioskop.
FILM TERLARIS SEPANJANG MASA ini mah","dan kejadian kan udah mau jt malah
kita yakin sih kalo abis lebaran masih ada di bioskop
film terlaris sepanjang masa ini mah",kejadian udah jt sih kalo abis lebaran bioskop film terlaris mah,jadi udah jt sih kalo abis lebaran bioskop film laris mah
YouTube,"Sudah 9 jutaan penonton. Peringkat ke 2 setelah film KKN didesa penari yang 10 juta 60 ribuan, Kalau film KKN waktu itu ditayangkan lagi ya dibioskop dengan  diselipkan scene2 yang baru ke film kkn nya sehingga penontonnya bertambah. 
Nah sebaiknya nanti film agak laen juga melakukan itu.. Menayangkan lagi film nya dibeberapa bioskop dengan diselipkan Scene2 baru sehingga penonton yang udah nonton  jadi nonton lagi.. Dan penonton yang belum sempat nonton jadi Bisa nonton dibioskop. Sepertinya akan mengalahkan jumlah penonton KKN deh.. Dan akan jadi Nomor 1 penonton terbanyak film agak laen ini.","sudah  jutaan penonton peringkat ke  setelah film kkn didesa penari yang  juta  ribuan kalau film kkn waktu itu ditayangkan lagi ya dibioskop dengan  diselipkan scene yang baru ke film kkn nya sehingga penontonnya bertambah 
nah sebaiknya nanti film agak laen juga melakukan itu menayangkan lagi film nya dibeberapa bioskop dengan diselipkan scene baru sehingga penonton yang udah nonton  jadi nonton lagi dan penonton yang belum sempat nonton jadi bisa nonton dibioskop sepertinya akan mengalahkan jumlah penonton kkn deh dan akan jadi nomor  penonton terbanyak film agak laen ini",jutaan penonton peringkat film kkn didesa penari juta ribuan film kkn ditayangkan ya dibioskop diselipkan scene film kkn nya penontonnya bertambah film laen menayangkan film nya dibeberapa bioskop diselipkan scene penonton udah nonton nonton penonton nonton nonton dibioskop mengalahkan penonton kkn deh nomor penonton film laen,juta tonton peringkat film kkn desa tari juta ribu film kkn tayang ya bioskop selip scene film kkn nya tonton tambah film laen tayang film nya beberapa bioskop selip scene tonton udah nonton nonton tonton nonton nonton bioskop kalah tonton kkn deh nomor tonton film laen
YouTube,9 juta malah 😅😅, juta malah ,juta,juta
YouTube,9 juta bang 🎉, juta bang ,juta bang,juta bang
YouTube,Dan ternyata 9 juta lebih,dan ternyata  juta lebih,juta,juta
YouTube,Otw 10 juta bang,otw  juta bang,otw juta bang,otw juta bang
YouTube,Damn 9 jt,damn  jt,damn jt,damn jt
YouTube,Uda tembus 8.9jt bang,uda tembus jt bang,uda tembus jt bang,uda tembus jt bang
YouTube,Sudah ready di platform online kah?,sudah ready di platform online kah,ready platform online kah,ready platform online kah
YouTube,"hari ini 14 mei 2024 udah tembus 9,13 juta Penonton. ... tpi ane belum nonton wkwkwkwkwkkw",hari ini  mei  udah tembus  juta penonton  tpi ane belum nonton wkwkwkwkwkkw,mei udah tembus juta penonton tpi ane nonton wkwkwkwkwkkw,mei udah tembus juta tonton tpi ane nonton wkwkwkwkwkkw
YouTube,Udah 9 juta,udah  juta,udah juta,udah juta
YouTube,2 jt😊😊, jt,jt,jt
YouTube,Sekarang tembus 9juta,sekarang tembus juta,tembus juta,tembus juta
YouTube,Iya betul .. lihat cuplikannya aja ngakak bgt . 😂😂😂,iya betul  lihat cuplikannya aja ngakak bgt  ,iya lihat cuplikannya aja ngakak bgt,iya lihat cuplik aja ngakak bgt
YouTube,Aamiin,aamiin,aamiin,aamiin
YouTube,​,,,
YouTube,2 jt, jt,jt,jt
YouTube,Comcon awwe gak mungkin gak lucu,comcon awwe gak mungkin gak lucu,comcon awwe gak gak lucu,comcon awwe gak gak lucu
YouTube,tembus 500rb aja udah syukur lawak kalian,tembus rb aja udah syukur lawak kalian,tembus rb aja udah syukur lawak,tembus rb aja udah syukur lawak
YouTube,​ @tarmandolam sdh tembus 5jt penonton nih, tarmandolam sdh tembus jt penonton nih,tarmandolam sdh tembus jt penonton nih,tarmandolam sdh tembus jt tonton nih
YouTube,"​ @tarmandolam udah hampir tembus 4 juta, lawak kali kau tlol", tarmandolam udah hampir tembus  juta lawak kali kau tlol,tarmandolam udah tembus juta lawak kali kau tlol,tarmandolam udah tembus juta lawak kali kau tlol
YouTube,​ @tarmandolam lawak kali kau, tarmandolam lawak kali kau,tarmandolam lawak kali kau,tarmandolam lawak kali kau
YouTube,"Gua Tertarik nnton ini, krn ada geng titik kumpul😅",gua tertarik nnton ini krn ada geng titik kumpul,gua tertarik nnton krn geng titik kumpul,gua tarik nnton krn geng titik kumpul
YouTube,SUMPAH SERU KALIIII. GA EXPECT TERNYATA BAKAL KAYAK GINI???,sumpah seru kaliiii ga expect ternyata bakal kayak gini,sumpah seru kaliiii ga expect kayak gini,sumpah seru kaliiii ga expect kayak gin
YouTube,Kereennnnnnn pokokny,kereennnnnnn pokokny,kereennnnnnn pokokny,kereennnnnnn pokokny
YouTube,Bang Arief didu baru nampak langsung mati XD,bang arief didu baru nampak langsung mati xd,bang arief didu nampak langsung mati xd,bang arief didu nampak langsung mati xd
YouTube,premier di bioskop mana bang?,premier di bioskop mana bang,premier bioskop bang,premier bioskop bang
YouTube,penerus warkop,penerus warkop,penerus warkop,terus warkop
YouTube,"sumpah gasabar banget pengen nonton!😭😭🫶🏻 cameonya tu bnyak bangettt anak2 komika, jd penasaran juga sma akting mrk.. ada bang praz, mamat, trus bnyak juga anak2 hahaha corp, bahkan ada nopek WKWKWK jujur aku ngerasa kyk lagi nunggu film ngeri-ngeri sedap tayang waktu tu, seee-excited itu!
semoga sukses yaa abang2kuuu!! 🫡🫡🫡","sumpah gasabar banget pengen nonton cameonya tu bnyak bangettt anak komika jd penasaran juga sma akting mrk ada bang praz mamat trus bnyak juga anak hahaha corp bahkan ada nopek wkwkwk jujur aku ngerasa kyk lagi nunggu film ngeringeri sedap tayang waktu tu seeeexcited itu
semoga sukses yaa abangkuuu ",sumpah gasabar banget pengen nonton cameonya tu bnyak bangettt anak komika jd penasaran sma akting mrk bang praz mamat trus bnyak anak hahaha corp nopek wkwkwk jujur ngerasa kyk nunggu film ngeringeri sedap tayang tu seeeexcited semoga sukses yaa abangkuuu,sumpah gasabar banget ken nonton cameonya tu bnyak bangettt anak komika jd penasaran sma akting mrk bang praz mamat trus bnyak anak hahaha corp nopek wkwkwk jujur ngerasa kyk nunggu film ngeringeri sedap tayang tu seeeexcited moga sukses yaa abangkuuu
YouTube,"Jadi gk sabar pgn nonton, siap di list tanggalnya",jadi gk sabar pgn nonton siap di list tanggalnya,gk sabar pgn nonton list tanggalnya,gk sabar pgn nonton list tanggal
YouTube,"Dari omong2 becanda ke ko ernest sampai jadi Seperfect ini, dahsyat, salut lah g ada lawan kelen, podcaster pertama di indonesia yg dibuat film, bravo agak laen... Salam pasukan bermarga...",dari omong becanda ke ko ernest sampai jadi seperfect ini dahsyat salut lah g ada lawan kelen podcaster pertama di indonesia yg dibuat film bravo agak laen salam pasukan bermarga,omong becanda ko ernest seperfect dahsyat salut g lawan kelen podcaster indonesia yg film bravo laen salam pasukan bermarga,omong becanda ko ernest seperfect dahsyat salut g lawan kelen podcaster indonesia yg film bravo laen salam pasu marga
YouTube,gak sabar,gak sabar,gak sabar,gak sabar
YouTube,"Trailerny aja lucu 
Apalagi ceritany 😭🤣 ..
Anak komika Indonesia 😩👏❤","trailerny aja lucu 
apalagi ceritany  
anak komika indonesia ",trailerny aja lucu ceritany anak komika indonesia,trailerny aja lucu ceritany anak komika indonesia
YouTube,1jt views ramaikan 😂,jt views ramaikan ,jt views ramaikan,jt views ramai
YouTube,"titik kumpul dibikin juga, nanti bikin dah imajinari universe",titik kumpul dibikin juga nanti bikin dah imajinari universe,titik kumpul dibikin bikin dah imajinari universe,titik kumpul bikin bikin dah imajinari universe
YouTube,"Fix lewat ini mah 1jt penonton, isinya komika semua dan artis papan atas😂",fix lewat ini mah jt penonton isinya komika semua dan artis papan atas,fix mah jt penonton isinya komika artis papan,fix mah jt tonton isi komika artis papan
