platform,komentar,clean,stopword,stemming,sentimen
YouTube,Kayaknya oki mencuri perhatian nih😂,kayaknya oki mencuri perhatian nih,kayaknya oki mencuri perhatian nih,kayak oki curi perhati nih,netral
YouTube,Gokil!,gokil,gokil,gokil,netral
YouTube,fix nonton ini mahh kudu harus,fix nonton ini mahh kudu harus,fix nonton mahh kudu,fix nonton mahh kudu,netral
YouTube,wajib tonton biar tiap tahun ada terus pelemnya kayak warkop,wajib tonton biar tiap tahun ada terus pelemnya kayak warkop,wajib tonton biar pelemnya kayak warkop,wajib tonton biar lem kayak warkop,netral
YouTube,Film kek gini 1jt ? Yaaa 2 lah kalau bisa mah lebih,film kek gini jt  yaaa  lah kalau bisa mah lebih,film kek gini jt yaaa mah,film kek gin jt yaaa mah,netral
YouTube,Ku tunggu lah,ku tunggu lah,ku tunggu,ku tunggu,netral
YouTube,anjiang🔥🔥🔥,anjiang,anjiang,anjiang,netral
YouTube,keren,keren,keren,keren,positif
YouTube,YEYYY!!,yeyyy,yeyyy,yeyyy,netral
YouTube,mau cepet2 nonton,mau cepet nonton,cepet nonton,cepet nonton,netral
YouTube,"Aslii sii yakin bngt bakal lebih dr 1jt loh.. aku yakin bakal ngalahin ngeri"" sedap.. yakin kali akuu",aslii sii yakin bngt bakal lebih dr jt loh aku yakin bakal ngalahin ngeri sedap yakin kali akuu,aslii sii bngt dr jt loh ngalahin ngeri sedap kali akuu,asli sii bngt dr jt loh ngalahin ngeri sedap kali akuu,netral
YouTube,ga expect jadinya horror comedy wkwkwk,ga expect jadinya horror comedy wkwkwk,ga expect horror comedy wkwkwk,ga expect horror comedy wkwkwk,netral
YouTube,Apasihhhh ya Allahhh wkwkkwkwkw masih ngakak aja beneran jadi film🤣🤣🤣 insya Allah bakalan nonton di bioskop,apasihhhh ya allahhh wkwkkwkwkw masih ngakak aja beneran jadi film insya allah bakalan nonton di bioskop,apasihhhh ya allahhh wkwkkwkwkw ngakak aja beneran film insya allah nonton bioskop,apasihhhh ya allahhh wkwkkwkwkw ngakak aja beneran film insya allah nonton bioskop,netral
YouTube,Ih seneng kali lah wak tayangnya di bulan lahir aku. Jadi hadiah ultah nih fix,ih seneng kali lah wak tayangnya di bulan lahir aku jadi hadiah ultah nih fix,ih seneng kali wak tayangnya lahir hadiah ultah nih fix,ih neng kali wak tayang lahir hadiah ultah nih fix,netral
YouTube,"Kalo film komedi harus lah premisnya lucu, trailernya ini aja udah bikin penasaran... gasss lah pasukan bermarga",kalo film komedi harus lah premisnya lucu trailernya ini aja udah bikin penasaran gasss lah pasukan bermarga,kalo film komedi premisnya lucu trailernya aja udah bikin penasaran gasss pasukan bermarga,kalo film komedi premis lucu trailer aja udah bikin penasaran gasss pasu marga,positif
YouTube,Namanya nopek gk masuk di kredit .. Apakah cuma muncul sekali 😂😂😂😂,namanya nopek gk masuk di kredit  apakah cuma muncul sekali ,namanya nopek gk masuk kredit muncul,nama nopek gk masuk kredit muncul,netral
YouTube,The next warkop,the next warkop,the next warkop,the next warkop,netral
YouTube,Udah gak sabar nih...klo liat pemain nya dominan komika gini... 😂😂,udah gak sabar nihklo liat pemain nya dominan komika gini ,udah gak sabar nihklo liat pemain nya dominan komika gini,udah gak sabar nihklo liat main nya dominan komika gin,netral
YouTube,Ah gak sabar kali aku tunggu sampai Februari. Udh langsungkan aja besok lah bang🙌🏻🥲,ah gak sabar kali aku tunggu sampai februari udh langsungkan aja besok lah bang,ah gak sabar kali tunggu februari udh langsungkan aja besok bang,ah gak sabar kali tunggu februari udh langsung aja besok bang,netral
YouTube,sedap kali warna plus gerak kameranyaaa. pasti nontonnn!,sedap kali warna plus gerak kameranyaaa pasti nontonnn,sedap kali warna plus gerak kameranyaaa nontonnn,sedap kali warna plus gerak kameranyaaa nontonnn,netral
YouTube,ahhh❤,ahhh,ahhh,ahhh,netral
YouTube,Lhes ayo...... Tayangke,lhes ayo tayangke,lhes ayo tayangke,lhes ayo tayangke,netral
YouTube,Cukk setane batak cookkk🤣🤣,cukk setane batak cookkk,cukk setane batak cookkk,cukk setane batak cookkk,netral
YouTube,Dinasti komika .... chuaakkzz,dinasti komika  chuaakkzz,dinasti komika chuaakkzz,dinasti komika chuaakkzz,netral
YouTube,GAK SABARRRR,gak sabarrrr,gak sabarrrr,gak sabarrrr,netral
YouTube,Yg aku suka dari IMAJINARI adalah..para komika yg jadi pemainnya...GOKSSSS...emang..,yg aku suka dari imajinari adalahpara komika yg jadi pemainnyagokssssemang,yg suka imajinari adalahpara komika yg pemainnyagokssssemang,yg suka imajinari adalahpara komika yg pemainnyagokssssemang,positif
YouTube,"Paaaakkk, sibuk gak??  Sopan kali kau manggil HANTU.. 🤣🤣🤣",paaaakkk sibuk gak  sopan kali kau manggil hantu ,paaaakkk sibuk gak sopan kali kau manggil hantu,paaaakkk sibuk gak sopan kali kau manggil hantu,netral
YouTube,"Ngakakkkkkkk, padahal masih trailer",ngakakkkkkkk padahal masih trailer,ngakakkkkkkk trailer,ngakakkkkkkk trailer,netral
YouTube,gasabaar🔥,gasabaar,gasabaar,gasabaar,netral
YouTube,"1 februari? 
tah nyampe tah gak nyawaku buat nonton ni film di bioskop"," februari 
tah nyampe tah gak nyawaku buat nonton ni film di bioskop",februari tah nyampe tah gak nyawaku nonton ni film bioskop,februari tah nyampe tah gak nyawa nonton ni film bioskop,netral
YouTube,pak gunadi...oh noo,pak gunadioh noo,gunadioh noo,gunadioh noo,netral
YouTube,Siap booking tiket aku,siap booking tiket aku,booking tiket,booking tiket,netral
YouTube,"wkwkwkwk gw suka premis nya,,, keinget film lawak2 tahun 1980-an kayak warkop,😂😂",wkwkwkwk gw suka premis nya keinget film lawak tahun an kayak warkop,wkwkwkwk gw suka premis nya keinget film lawak an kayak warkop,wkwkwkwk gw suka premis nya keinget film lawak an kayak warkop,positif
YouTube,Aksjjssjjshsjsha keren kaliiiiiiii😭,aksjjssjjshsjsha keren kaliiiiiiii,aksjjssjjshsjsha keren kaliiiiiiii,aksjjssjjshsjsha keren kaliiiiiiii,positif
YouTube,nonton trailer ini suda 1000×,nonton trailer ini suda ,nonton trailer suda,nonton trailer suda,netral
YouTube,Makkkk gak sabar kali ah liat akting nya ketua bene wkwkwkwkwk,makkkk gak sabar kali ah liat akting nya ketua bene wkwkwkwkwk,makkkk gak sabar kali ah liat akting nya ketua bene wkwkwkwkwk,makkkk gak sabar kali ah liat akting nya ketua bene wkwkwkwkwk,netral
YouTube,Menonton ini demi melihat akting ketua Bene. Mending mana dibanding Katakan Suntuk,menonton ini demi melihat akting ketua bene mending mana dibanding katakan suntuk,menonton akting ketua bene mending dibanding suntuk,tonton akting ketua bene mending banding suntuk,netral
YouTube,Wah... Akhirnya main film kelean semua Bang😂,wah akhirnya main film kelean semua bang,main film kelean bang,main film kelean bang,netral
YouTube,"بإذن الله 
lebih dr 2juta ❤","  
lebih dr juta ",dr juta,dr juta,netral
YouTube,gilee dari trailer nya aja dah seru batt,gilee dari trailer nya aja dah seru batt,gilee trailer nya aja dah seru batt,gilee trailer nya aja dah seru batt,positif
YouTube,Humorku sebatas angin duduk,humorku sebatas angin duduk,humorku sebatas angin duduk,humor batas angin duduk,netral
YouTube,Nopek😂😂😂😂setan e batak to..,nopeksetan e batak to,nopeksetan e batak to,nopeksetan e batak to,netral
YouTube,Harus liat gak sii,harus liat gak sii,liat gak sii,liat gak sii,netral
YouTube,angin duduk yaaaa wkwkwk,angin duduk yaaaa wkwkwk,angin duduk yaaaa wkwkwk,angin duduk yaaaa wkwkwk,netral
YouTube,"Masuk Akal juga 1 Februari, Enak disuruh nunggu lama, mome pemilu 😂😂😂",masuk akal juga  februari enak disuruh nunggu lama mome pemilu ,masuk akal februari enak disuruh nunggu mome pemilu,masuk akal februari enak suruh nunggu mome milu,netral
YouTube,"Lumayan ada hiburan, sebelum pencoblosan",lumayan ada hiburan sebelum pencoblosan,lumayan hiburan pencoblosan,lumayan hibur coblos,netral
YouTube,bisalah lah ini nonton 1 keluarga nanti,bisalah lah ini nonton  keluarga nanti,bisalah nonton keluarga,bisa nonton keluarga,netral
YouTube,Pasti ku tonton,pasti ku tonton,ku tonton,ku tonton,netral
YouTube,"Dah dijamin 1jt penonton sama ketua jegel, jadi pasti filmnya lucu, ngakak kocak😂",dah dijamin jt penonton sama ketua jegel jadi pasti filmnya lucu ngakak kocak,dah dijamin jt penonton ketua jegel filmnya lucu ngakak kocak,dah jamin jt tonton ketua jegel film lucu ngakak kocak,positif
YouTube,Ih gk sabar 😦,ih gk sabar ,ih gk sabar,ih gk sabar,netral
YouTube,"penerus warkop nih abang2 satu ini, semoga jadi banyak film",penerus warkop nih abang satu ini semoga jadi banyak film,penerus warkop nih abang semoga film,terus warkop nih abang moga film,netral
YouTube,"GOKIL, trailer nya aja udah ngakak kocak!!!🔥🔥 cant wait ketuaa❤",gokil trailer nya aja udah ngakak kocak cant wait ketuaa,gokil trailer nya aja udah ngakak kocak cant wait ketuaa,gokil trailer nya aja udah ngakak kocak cant wait ketuaa,netral
YouTube,tolong gruduk tubruk bioskop klean lah pada opening day supaya pilem ketua ketua ini tembus sejuta lebih bahkan🔥🔥🔥🔥,tolong gruduk tubruk bioskop klean lah pada opening day supaya pilem ketua ketua ini tembus sejuta lebih bahkan,tolong gruduk tubruk bioskop klean opening day pilem ketua ketua tembus sejuta,tolong gruduk tubruk bioskop klean opening day pilem ketua ketua tembus juta,netral
YouTube,MAKIN GAK SABARRRRRRR,makin gak sabarrrrrrr,gak sabarrrrrrr,gak sabarrrrrrr,netral
YouTube,Astagaaaaa tuhaaann 1 februari msi lamaaaaa... Kenpa gak besok ajaaaa.. Sudah mupeng ini,astagaaaaa tuhaaann  februari msi lamaaaaa kenpa gak besok ajaaaa sudah mupeng ini,astagaaaaa tuhaaann februari msi lamaaaaa kenpa gak besok ajaaaa mupeng,astagaaaaa tuhaaann februari msi lamaaaaa kenpa gak besok ajaaaa mupeng,netral
YouTube,inni emas dan ttp bakal masterpiece buat fans podcast agak laen!!,inni emas dan ttp bakal masterpiece buat fans podcast agak laen,inni emas ttp masterpiece fans podcast laen,inni emas ttp masterpiece fans podcast laen,netral
YouTube,Hantu angin duduk 😂😂😂,hantu angin duduk ,hantu angin duduk,hantu angin duduk,netral
YouTube,Trending kn,trending kn,trending kn,trending kn,netral
YouTube,Akhernya banyak jugak porsinya bang Oki Rengga 😂,akhernya banyak jugak porsinya bang oki rengga ,akhernya jugak porsinya bang oki rengga,akhernya jugak porsi bang oki rengga,netral
YouTube,Wajib nonton,wajib nonton,wajib nonton,wajib nonton,netral
YouTube,AKHIRNYAAAAAAAAAAAA can't waitttt,akhirnyaaaaaaaaaaaa cant waitttt,akhirnyaaaaaaaaaaaa cant waitttt,akhirnyaaaaaaaaaaaa cant waitttt,netral
YouTube,Keren2,keren,keren,keren,positif
YouTube,Wajib nntn sih ini.. Wajib 1jt penonton lebih jg,wajib nntn sih ini wajib jt penonton lebih jg,wajib nntn sih wajib jt penonton jg,wajib nntn sih wajib jt tonton jg,netral
YouTube,'setane batak tooooo' 1:10,setane batak tooooo ,setane batak tooooo,setane batak tooooo,netral
YouTube,Beneran jadi film kelen ya banggg😂😂😂 film yg wajib ditontonnnn,beneran jadi film kelen ya banggg film yg wajib ditontonnnn,beneran film kelen ya banggg film yg wajib ditontonnnn,beneran film kelen ya banggg film yg wajib ditontonnnn,netral
YouTube,kapan ini tayang di tiktoknya wa? 🤣🤣🤣,kapan ini tayang di tiktoknya wa ,tayang tiktoknya wa,tayang tiktoknya wa,netral
YouTube,bagus,bagus,bagus,bagus,positif
YouTube,baru trailer aja sudah terpingkal-pingkal ketawanya. palagi full movie...nda sabar nunggu,baru trailer aja sudah terpingkalpingkal ketawanya palagi full movienda sabar nunggu,trailer aja terpingkalpingkal ketawanya palagi full movienda sabar nunggu,trailer aja terpingkalpingkal ketawa palagi full movienda sabar nunggu,netral
YouTube,Jaminan jutaan views ini ketua 🤣,jaminan jutaan views ini ketua ,jaminan jutaan views ketua,jamin juta views ketua,netral
YouTube,Visualnya sih menjanjikan,visualnya sih menjanjikan,visualnya sih menjanjikan,visual sih janji,netral
YouTube,Kayaknya endingnya nanti ada credit title,kayaknya endingnya nanti ada credit title,kayaknya endingnya credit title,kayak endingnya credit title,netral
YouTube,Aku suka3 😂,aku suka ,suka,suka,positif
YouTube,"Mantap memang ketua beneee, Oki, komandan boris dan jegel. nda maen2 ektingnya bah",mantap memang ketua beneee oki komandan boris dan jegel nda maen ektingnya bah,mantap ketua beneee oki komandan boris jegel nda maen ektingnya bah,mantap ketua beneee oki komandan bor jegel nda maen ektingnya bah,positif
YouTube,Wah mantapp ini trailernyaa,wah mantapp ini trailernyaa,mantapp trailernyaa,mantapp trailernyaa,positif
YouTube,"Kalau liat trailernya si, ini lucu pasti filmnya 😂",kalau liat trailernya si ini lucu pasti filmnya ,liat trailernya si lucu filmnya,liat trailer si lucu film,positif
YouTube,Terharu aku woy 😊😢,terharu aku woy ,terharu woy,haru woy,netral
YouTube,"Pemainnya rata2 komika,, seruuuu nih",pemainnya rata komika seruuuu nih,pemainnya komika seruuuu nih,main komika seruuuu nih,positif
YouTube,Bagus production value nya! Trailernya keren!,bagus production value nya trailernya keren,bagus production value nya trailernya keren,bagus production value nya trailer keren,positif
YouTube,Lucu bgt anjir ga sabarrrrrrrrrrhhhh,lucu bgt anjir ga sabarrrrrrrrrrhhhh,lucu bgt anjir ga sabarrrrrrrrrrhhhh,lucu bgt anjir ga sabarrrrrrrrrrhhhh,positif
YouTube,Mantab akhirnya keluar,mantab akhirnya keluar,mantab,mantab,netral
YouTube,"Bakal nonton ini ke bioskop nih, siapsiap 1 juta penonton ko ernest💥",bakal nonton ini ke bioskop nih siapsiap  juta penonton ko ernest,nonton bioskop nih siapsiap juta penonton ko ernest,nonton bioskop nih siapsiap juta tonton ko ernest,netral
YouTube,ketua ketua ku... ga sabar,ketua ketua ku ga sabar,ketua ketua ku ga sabar,ketua ketua ku ga sabar,netral
YouTube,Ga sabar weee,ga sabar weee,ga sabar weee,ga sabar weee,netral
YouTube,Nopek : setannya Batak 😂,nopek  setannya batak ,nopek setannya batak,nopek setan batak,netral
YouTube,Lama kali 1 februari dah gak sabar nontonnya,lama kali  februari dah gak sabar nontonnya,kali februari dah gak sabar nontonnya,kali februari dah gak sabar nontonnya,netral
YouTube,gokillll,gokillll,gokillll,gokillll,netral
YouTube,nggak sabarrrrrr,nggak sabarrrrrr,nggak sabarrrrrr,nggak sabarrrrrr,netral
YouTube,Wiihhh.. udh ada trailernya..👏👏 seru kyk nya ni... agak laen emang ni film 🫰✌️👍,wiihhh udh ada trailernya seru kyk nya ni agak laen emang ni film ,wiihhh udh trailernya seru kyk nya ni laen emang ni film,wiihhh udh trailer seru kyk nya ni laen emang ni film,positif
YouTube,1 februari lama kali bangsat, februari lama kali bangsat,februari kali bangsat,februari kali bangsat,netral
YouTube,Ga sabaaarrr!!! Kayanya kocak sih.. all in di atas 1jt penonton hoho,ga sabaaarrr kayanya kocak sih all in di atas jt penonton hoho,ga sabaaarrr kayanya kocak sih all in jt penonton hoho,ga sabaaarrr kaya kocak sih all in jt tonton hoho,netral
YouTube,Anying angin duduk😂😂,anying angin duduk,anying angin duduk,anying angin duduk,netral
YouTube,"Gokilll trailer nyaa , up up 1jutaa lebih penontonnya aminn , HORAS. Agak Laen Maju Terus Amin GBU 🙏🏻👍🏻👍🏻",gokilll trailer nyaa  up up jutaa lebih penontonnya aminn  horas agak laen maju terus amin gbu ,gokilll trailer nyaa up up jutaa penontonnya aminn horas laen maju amin gbu,gokilll trailer nyaa up up jutaa tonton aminn horas laen maju amin gbu,netral
YouTube,GAK SABARRRRRR,gak sabarrrrrr,gak sabarrrrrr,gak sabarrrrrr,netral
YouTube,😂😂😂,,,,netral
YouTube,Mantap🎉🎉🎉,mantap,mantap,mantap,positif
YouTube,terharu aku ketua,terharu aku ketua,terharu ketua,haru ketua,netral
YouTube,pasukan tidak bermarga siap meramaikan!,pasukan tidak bermarga siap meramaikan,pasukan bermarga meramaikan,pasu marga ramai,netral
YouTube,Pasukan Sunda Pride siap merapat. Can't wait liat Komandan Boris & Ketua² lainnya 🔥,pasukan sunda pride siap merapat cant wait liat komandan boris  ketua lainnya ,pasukan sunda pride merapat cant wait liat komandan boris ketua,pasu sunda pride rapat cant wait liat komandan bor ketua,netral
YouTube,Tak sabar menunggu…. 🫶🫶,tak sabar menunggu ,sabar menunggu,sabar tunggu,netral
YouTube,Mari kita serbu bioskop,mari kita serbu bioskop,mari serbu bioskop,mari serbu bioskop,netral
YouTube,Taruhan terbesar jegel😂,taruhan terbesar jegel,taruhan terbesar jegel,taruh besar jegel,netral
YouTube,"Kayaknya bakal petjah, nih. Ngga sabar nunggu Feb 2024! 😆",kayaknya bakal petjah nih ngga sabar nunggu feb  ,kayaknya petjah nih ngga sabar nunggu feb,kayak petjah nih ngga sabar nunggu feb,netral
YouTube,angin duduk🤣🤣🤣🤣🤣,angin duduk,angin duduk,angin duduk,netral
YouTube,weee lama kali February ini,weee lama kali february ini,weee kali february,weee kali february,netral
YouTube,Hanya bisa mendukung hasil karya mereka dengan cara mennton film ini ... Di tunggu waktu tayangnya ... #Memang Agak Lain ...,hanya bisa mendukung hasil karya mereka dengan cara mennton film ini  di tunggu waktu tayangnya  memang agak lain ,mendukung hasil karya mennton film tunggu tayangnya,dukung hasil karya mennton film tunggu tayang,netral
YouTube,100% komika semua nihh.. mantap.. 😂, komika semua nihh mantap ,komika nihh mantap,komika nihh mantap,positif
YouTube,"1 juta penonton, kita patenkan pasukan bermarga 🤜🤛", juta penonton kita patenkan pasukan bermarga ,juta penonton patenkan pasukan bermarga,juta tonton paten pasu marga,netral
YouTube,masih lama ternyata bah,masih lama ternyata bah,bah,bah,netral
YouTube,Masihhh lamaaa niannn,masihhh lamaaa niannn,masihhh lamaaa niannn,masihhh lamaaa niannn,netral
YouTube,Buat versi parody bang kalo udah rilis nanti,buat versi parody bang kalo udah rilis nanti,versi parody bang kalo udah rilis,versi parody bang kalo udah rilis,netral
YouTube,"Pasti nontonnya harus ke medan dulu, ya kan bang..?",pasti nontonnya harus ke medan dulu ya kan bang,nontonnya medan ya bang,nontonnya medan ya bang,netral
YouTube,Emang di Aceh ada bioskop bg 🗿,emang di aceh ada bioskop bg ,emang aceh bioskop bg,emang aceh bioskop bg,netral
YouTube,"Pertama baca nama reflek bacanya ""slangkangan"" ternyata sengklekman hahaha sorry ya malum udah malem",pertama baca nama reflek bacanya slangkangan ternyata sengklekman hahaha sorry ya malum udah malem,baca nama reflek bacanya slangkangan sengklekman hahaha sorry ya malum udah malem,baca nama reflek baca slangkangan sengklekman hahaha sorry ya malum udah malem,netral
YouTube,goksss lah udah pastiii,goksss lah udah pastiii,goksss udah pastiii,goksss udah pastiii,netral
YouTube,"""TOOO SETANE BATAK TOOOO"" ASU LAH NOPEK 
🤣🤣🤣🤣🤣🤣","tooo setane batak toooo asu lah nopek 
",tooo setane batak toooo asu nopek,tooo setane batak toooo asu nopek,netral
YouTube,Gas terus ketua,gas terus ketua,gas ketua,gas ketua,netral
YouTube,Anjir ternyata obrolan sama ko ernest serius wkwkw,anjir ternyata obrolan sama ko ernest serius wkwkw,anjir obrolan ko ernest serius wkwkw,anjir obrol ko ernest serius wkwkw,netral
YouTube,nonton gengs!,nonton gengs,nonton gengs,nonton gengs,netral
YouTube,Gas,gas,gas,gas,netral
YouTube,ga sabar mau nontonnnn😭,ga sabar mau nontonnnn,ga sabar nontonnnn,ga sabar nontonnnn,netral
YouTube,"Seandainya bisa tayang lebih awal, ketawanya bisa lah jadi pembuka tahun baru :-P",seandainya bisa tayang lebih awal ketawanya bisa lah jadi pembuka tahun baru p,seandainya tayang ketawanya pembuka p,anda tayang ketawa buka p,netral
YouTube,"lucu filmnya para ketua, cuman tolong lah sound ngegetinnya dikurangin. apalagi nanti pas dibioskop, jantungan awak",lucu filmnya para ketua cuman tolong lah sound ngegetinnya dikurangin apalagi nanti pas dibioskop jantungan awak,lucu filmnya ketua cuman tolong sound ngegetinnya dikurangin pas dibioskop jantungan awak,lucu film ketua cuman tolong sound ngegetinnya rangin pas bioskop jantung awak,positif
YouTube,mending nonton ini daripada nonton film item putih di bioskop bikin mata sakit.,mending nonton ini daripada nonton film item putih di bioskop bikin mata sakit,mending nonton nonton film item putih bioskop bikin mata sakit,mending nonton nonton film item putih bioskop bikin mata sakit,netral
YouTube,CANT WAIT,cant wait,cant wait,cant wait,netral
YouTube,Keren,keren,keren,keren,positif
YouTube,wajib ku tonton ini,wajib ku tonton ini,wajib ku tonton,wajib ku tonton,netral
YouTube,Kok gak kaku bang bene,kok gak kaku bang bene,gak kaku bang bene,gak kaku bang bene,netral
YouTube,Gasabar,gasabar,gasabar,gasabar,netral
YouTube,GASABAR KALI PENGEN NONTONNN,gasabar kali pengen nontonnn,gasabar kali pengen nontonnn,gasabar kali ken nontonnn,netral
YouTube,UMAKKK TRAILER NYA AJA LUCU KALIIII 😂😂😂 GA SABAR AKU LAAAAAA,umakkk trailer nya aja lucu kaliiii  ga sabar aku laaaaaa,umakkk trailer nya aja lucu kaliiii ga sabar laaaaaa,umakkk trailer nya aja lucu kaliiii ga sabar laaaaaa,positif
YouTube,Kerennnnn,kerennnnn,kerennnnn,kerennnnn,positif
YouTube,"Pemain nya comedy konsultan semua, mana ada ga Geeerrrrrr ini film .. Gasskaan pasukaan!!!!!!!!!!!!",pemain nya comedy konsultan semua mana ada ga geeerrrrrr ini film  gasskaan pasukaan,pemain nya comedy konsultan ga geeerrrrrr film gasskaan pasukaan,main nya comedy konsultan ga geeerrrrrr film gasskaan pasukaan,positif
YouTube,"ikut bahagia dengan semua pencapaian agak laen,,semoga nanti tembus 1jt views",ikut bahagia dengan semua pencapaian agak laensemoga nanti tembus jt views,bahagia pencapaian laensemoga tembus jt views,bahagia capai laensemoga tembus jt views,netral
YouTube,Baru kek gini aja saya sudah ngakak..,baru kek gini aja saya sudah ngakak,kek gini aja ngakak,kek gin aja ngakak,netral
YouTube,Ketuaaaaa,ketuaaaaa,ketuaaaaa,ketuaaaaa,netral
YouTube,auto nonton di hari pertama,auto nonton di hari pertama,auto nonton,auto nonton,netral
YouTube,Gasabar nunggu tayangnya wak 🎉🎉 pasti 1 juta penonton ini mah,gasabar nunggu tayangnya wak  pasti  juta penonton ini mah,gasabar nunggu tayangnya wak juta penonton mah,gasabar nunggu tayang wak juta tonton mah,netral
YouTube,❤❤❤❤❤❤❤,,,,netral
YouTube,❤❤,,,,netral
YouTube,1:25 ekspresi komandan kaku emang sangat sesuai dengan julukannya, ekspresi komandan kaku emang sangat sesuai dengan julukannya,ekspresi komandan kaku emang sesuai julukannya,ekspresi komandan kaku emang sesuai juluk,netral
YouTube,Boleh g sih ini nintonnya bawa anak umur 11 tahun???,boleh g sih ini nintonnya bawa anak umur  tahun,g sih nintonnya bawa anak umur,g sih nintonnya bawa anak umur,netral
YouTube,"Pasuka bermarga siapkan pasukan , kocakk parahh bisaa lah tembus diatas 1 juta ini 😁😁😁",pasuka bermarga siapkan pasukan  kocakk parahh bisaa lah tembus diatas  juta ini ,pasuka bermarga siapkan pasukan kocakk parahh bisaa tembus diatas juta,pasuka marga siap pasu kocakk parahh bisaa tembus atas juta,positif
YouTube,setane batak cokkk,setane batak cokkk,setane batak cokkk,setane batak cokkk,netral
YouTube,"Ini diaa film pertama dari grup lawak Sumatera Utara, AGAK LAEN😂. Belum nonton tapi sudah berharap ada film"" lainnya, aamiin",ini diaa film pertama dari grup lawak sumatera utara agak laen belum nonton tapi sudah berharap ada film lainnya aamiin,diaa film grup lawak sumatera utara laen nonton berharap film aamiin,diaa film grup lawak sumatera utara laen nonton harap film aamiin,netral
YouTube,"[edit] beda versi dengan yang diputar di bioskop 30 November kemarin 🧐

seandainya aku cuti, pasti ku tonton 🤤","edit beda versi dengan yang diputar di bioskop  november kemarin 

seandainya aku cuti pasti ku tonton ",edit beda versi diputar bioskop november kemarin seandainya cuti ku tonton,edit beda versi putar bioskop november kemarin anda cuti ku tonton,netral
YouTube,Kok ga ada tretan muslim,kok ga ada tretan muslim,ga tretan muslim,ga tretan muslim,netral
YouTube,Angin apa yg bisa buka kursi lipat? Angin duduk ya kan? Wkwkwkwk. Best nih. Wajib nonton!!!,angin apa yg bisa buka kursi lipat angin duduk ya kan wkwkwkwk best nih wajib nonton,angin yg buka kursi lipat angin duduk ya wkwkwkwk best nih wajib nonton,angin yg buka kursi lipat angin duduk ya wkwkwkwk best nih wajib nonton,netral
YouTube,HAYUU LAAH BOX OFFICE SMEOGAAAA!,hayuu laah box office smeogaaaa,hayuu laah box office smeogaaaa,hayuu laah box office smeogaaaa,netral
YouTube,Tontonan paling di tunggu ini wak,tontonan paling di tunggu ini wak,tontonan tunggu wak,tonton tunggu wak,netral
YouTube,Ketua bene kenapa lucu kali kulihat ya. Kaku kaliii 🤣,ketua bene kenapa lucu kali kulihat ya kaku kaliii ,ketua bene lucu kali kulihat ya kaku kaliii,ketua bene lucu kali lihat ya kaku kaliii,positif
YouTube,NAMA GUS NOPEK GK MASUUK GMNA INIIIII😡,nama gus nopek gk masuuk gmna iniiiii,nama gus nopek gk masuuk gmna iniiiii,nama gus nopek gk masuuk gmna iniiiii,netral
YouTube,akhirnya kiper ke 3 maen film 🔥,akhirnya kiper ke  maen film ,kiper maen film,kiper maen film,netral
YouTube,"Wow KEREN BANGET 👍
Tahun ini shooting, tahun depan tayang 🥳
Dan tanggal bertepatan dengan hari ulang tahun nih 🎂 bagi yang merayakan nya 🎉","wow keren banget 
tahun ini shooting tahun depan tayang 
dan tanggal bertepatan dengan hari ulang tahun nih  bagi yang merayakan nya ",wow keren banget shooting tayang tanggal bertepatan ulang nih merayakan nya,wow keren banget shooting tayang tanggal tepat ulang nih raya nya,positif
YouTube,😂 emang sumatera utara agak laen dr pd daerah sumatera lainnya, emang sumatera utara agak laen dr pd daerah sumatera lainnya,emang sumatera utara laen dr pd daerah sumatera,emang sumatera utara laen dr pd daerah sumatera,netral
YouTube,"Yg di bioskop itu teaser bang, yg ini baru trailer",yg di bioskop itu teaser bang yg ini baru trailer,yg bioskop teaser bang yg trailer,yg bioskop teaser bang yg trailer,netral
YouTube," @aslapamungkas836  oh gitu ya 😅
maaf-maaf 🙏"," aslapamungkas  oh gitu ya 
maafmaaf ",aslapamungkas oh gitu ya maafmaaf,aslapamungkas oh gitu ya maafmaaf,netral
YouTube,Harus nonton fix..😂,harus nonton fix,nonton fix,nonton fix,netral
YouTube,"ya Allah, izinkan film ini ditonton lebih dari 1 jt penonton 😭🙏 🤍",ya allah izinkan film ini ditonton lebih dari  jt penonton  ,ya allah izinkan film ditonton jt penonton,ya allah izin film tonton jt tonton,netral
YouTube,gara gara podcast akhirnya jadi film...,gara gara podcast akhirnya jadi film,gara gara podcast film,gara gara podcast film,netral
YouTube,Yg kena serangan jantung arif didu gasih?,yg kena serangan jantung arif didu gasih,yg kena serangan jantung arif didu gasih,yg kena serang jantung arif didu gasih,netral
YouTube,sayang kali aku sama klen 😭,sayang kali aku sama klen ,sayang kali klen,sayang kali klen,netral
YouTube,Kacooo iniiiiiii mantap kali laeee,kacooo iniiiiiii mantap kali laeee,kacooo iniiiiiii mantap kali laeee,kacooo iniiiiiii mantap kali laeee,positif
YouTube,Duh nggak sabar buat nonton klean,duh nggak sabar buat nonton klean,duh nggak sabar nonton klean,duh nggak sabar nonton klean,netral
YouTube,Akhirnya bang oki rengga maen filem,akhirnya bang oki rengga maen filem,bang oki rengga maen filem,bang oki rengga maen filem,netral
YouTube,Anjaaaaaay,anjaaaaaay,anjaaaaaay,anjaaaaaay,netral
